"","Tree_ID","best_iteration","quality_0","quality_1","quality_2","quality_3","quality_4","quality_5","quality_6","quality_7","quality_8","quality_9","times_outlier_0","times_outlier_1","times_outlier_2","times_outlier_3","times_outlier_4","times_outlier_5","times_outlier_6","times_outlier_7","times_outlier_8","times_outlier_9"
"46","1210a",6,NA,NA,0.887748920325549,NA,NA,NA,1.74706490965374,1.14979192695142,NA,1.45101762840886,1,1,0,5,3,2,0,0,2,0
"47","1210b",0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,5,11,1,1,2,2,6,0
"48","1225",0,3,NA,NA,NA,1.14019192436138,NA,NA,NA,0.602105189006263,NA,0,1,3,5,0,4,7,17,0,1
"49","122a",5,1.80547622594334,NA,NA,NA,NA,2.5036470130793,NA,NA,NA,0.510156415578768,0,1,1,6,1,0,1,1,2,0
"50","122b",8,1.86973047545481,NA,NA,0.629173788139887,2,0.970576909099537,NA,NA,2.27144371648317,NA,1,2,3,1,1,1,7,5,1,3
"51","122c",9,NA,NA,1.97410189497361,NA,NA,NA,1.15440485240458,NA,NA,2,7,1,0,8,3,1,0,1,6,0
"52","122d",0,2.4108249818791,1,1.85499654536608,NA,NA,0.714356765814944,NA,1.99377317396277,NA,NA,0,0,0,3,1,0,5,0,7,2
"53","122e",4,1.67102521856337,1.67559518788507,NA,NA,2.83758326411495,NA,NA,0.713797989116129,NA,NA,0,0,8,5,0,6,6,0,1,1
"54","122f",0,2.46728303553939,0.190221712298558,NA,1.47872204371145,1.01009906745633,NA,NA,NA,NA,NA,0,0,5,0,0,1,4,2,1,2
"55","122h",9,NA,NA,1.50153815229589,0.842414363612058,NA,2.03151600773661,NA,NA,NA,2.98915159950682,5,2,0,0,1,0,1,1,8,0
"56","122i",7,NA,1.13989771273269,NA,1.52434770847112,NA,NA,NA,2.85523735650909,1.82145758528811,NA,7,0,1,0,2,2,2,0,0,2
"57","1236",4,NA,NA,NA,1.02947218488903,2.50637684500068,1.68356139926724,NA,NA,1.83055323680785,NA,1,3,3,0,0,0,3,2,0,1
"58","1240",7,NA,1.41830037934707,NA,NA,NA,NA,NA,2,NA,1.6026178669117,4,0,2,1,2,2,3,0,1,0
"59","1242",4,NA,NA,NA,0.0920171564742895,2.47058068145674,NA,1.17484455814985,NA,NA,NA,2,1,1,0,0,4,0,8,3,12
"60","1252",3,NA,2.02653381839376,NA,2.9242458039022,0,NA,NA,NA,NA,NA,2,0,4,0,0,3,1,23,2,5
"61","1254",7,NA,NA,NA,NA,1.45761157067842,NA,1.33524760216047,2.56386933222871,1.16447034800761,NA,4,6,1,2,0,2,0,0,0,2
"62","1255",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,2,6,2,1,1,2,2
"63","1268a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,2,11,5,5,7,5,0
"64","1268b",0,2.00830923877055,1.61562489870161,NA,1.71242116599354,NA,NA,NA,1.8510180701745,0,NA,0,0,6,0,1,4,3,0,0,4
"65","1271",8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,2,2,2,7,2,7,0,1
"66","1275",6,NA,1.77756811360184,NA,NA,NA,NA,2.08421665493477,NA,2,0.503213521926386,3,0,5,7,6,2,0,8,0,0
"67","1278a",5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,3,2,1,1,1,0,4,3,2,1
"68","1278b",8,0.425347707320554,NA,1,NA,NA,NA,1.85846484056268,NA,2.24555484740008,NA,0,5,0,1,3,3,0,2,0,12
"69","1296",8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,1,3,11,2,2,2,1,0,2
"70","130",8,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,3,2,4,1,2,3,2,1,5
"71","1302",4,1.5502011697354,0.95543547773479,NA,NA,2,NA,1.89492936454257,NA,NA,NA,0,0,3,1,0,12,0,8,1,1
"72","1303",6,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,18,4,7,0,1,0,11,3,2
