"","Tree_ID","species","latin_name","common_name","stem_count","stemlocx_m","stemlocy_m","VerticalCrownProjectedArea_pts_m2","Dead","QSM_iteration","height_m","tot_volume_m3","tot_length_m","DBH_QSM_m","Vol_QSM_D0_25mm_m3","Vol_QSM_D25_50mm_m3","Vol_QSM_D50_75mm_m3","Vol_QSM_D75_100mm_m3","Vol_QSM_D100_200mm_m3","Vol_QSM_D200mm_m3","A_w","alpha_w","M_w","mu_w","A_l","alpha_l","M_l","mu_l","root_A","root_alpha","root_M","root_mu","n_leaves","n_innerN","B1I","B2I","CherryI","Coll_likeI_ln","maxDepth","maxWidth","modMaxDiffW","IbasedI_meanP","IbasedI_meanW","SackinI","sshapeI","totPathL","totalCophI","VarLDI","AvgLDI","AvgVertD","totIntPathL","maxWoMaxD","rQuartetI_4rt","Coll_likeI_e_sqrt","resolution_n"
"779","8407","CORYAV","Corylus avellana","Common hazel",1,14.0640118687922,184.762933026549,16.05955794757,"N",5,11.7351192121635,0.103681991620691,156.958388072878,0.0883870082607314,0.0138209567989232,0.0336030314380134,0.0391436639508699,0.0171143394328847,0,0,0.374938588189495,0.369792817436388,0.340572042022238,0.339438431858536,0.369029274148248,0.355470937044128,0.306290917397431,0.303237359402985,0.273189753603045,0.273189753603045,0.26980426623286,0.26980426623286,228,177,88.288898423782,3.05995296312211,99,4771.56669815736,24,41,11,0.717362956578209,0.734254437616487,3093,410.460105405283,5220,89407,20.4561980609418,13.5657894736842,12.8888888888889,2127,1.70833333333333,107.296516554052,149.752819162849,0.779735682819383
"780","8408","FRAXEX","Fraxinus excelsior","European/Common ash",1,15.4317979151642,176.889223294471,3.94185380012001,"N",7,8.21015889366383,0.0326983537558601,48.8807966679685,0.0533675351573828,0.0037323864443224,0.0162460206686399,0.0127199466428979,0,0,0,0.308768600293189,0.302432841718069,0.279645425687109,0.278054407243482,0.335572038714885,0.319573776667114,0.276986338082318,0.273133953293472,0.204917355316036,0.204917355316036,0.203486245024027,0.203486245024027,70,51,25.7988455988456,3.10019712558372,42,683.627738645316,12,18,6,0.659541726389552,0.702398493865427,579,115.34511603219,909,6775,6.96918367346939,8.27142857142857,7.51239669421488,330,1.5,29.5952720680982,59.7723616813824,0.739130434782609
"781","8409","ACERPS","Acer pseudoplatanus","Sycamore",1,16.7419461858751,193.051273820775,5.18895700445504,"N",3,13.1351058940848,0.0906245944328361,67.8760666168461,0.0978997958768717,0.00644275188516069,0.0153209497447491,0.0159660341756771,0.0339508781386664,0.0189439804885828,0,0.256058702542336,0.25197954764584,0.242779540823045,0.241875414160189,0.308890882761436,0.293672046971946,0.256554694328938,0.253196654817972,0.303583398931248,0.303583398931248,0.298941653740853,0.298941653740853,74,60,31.509102009102,3.07823764516322,36,886.601511953041,14,23,10,0.676337749509189,0.744810567207604,683,121.898311868509,1120,9254,6.50127830533236,9.22972972972973,8.35820895522388,437,1.64285714285714,33.3459560781738,62.933035982044,0.821917808219178
"782","8410","ACERPS","Acer pseudoplatanus","Sycamore",1,14.2015228939411,191.40366691971,1.601848683515,"N",5,11.7530024400759,0.0209769445119404,26.9029521845032,0.0556640036505823,0.00254686690809011,0.00913047878415646,0.0092995988196938,0,0,0,0.201755557963483,0.198545971951177,0.193364978479512,0.192504723631833,0.273751001892769,0.265353370413702,0.234589369464553,0.233093351327904,0.151562104630768,0.151562104630768,0.150982513397794,0.150982513397794,22,19,8.35321067821068,2.0443194634787,7,282.041381582686,12,6,2,0.714918831168831,0.735736839467397,174,41.6886938936319,294,1008,9.90082644628099,7.90909090909091,7.17073170731707,120,0.5,6.60393253862523,32.6222710096705,0.904761904761905
"783","8414","ACERPS","Acer pseudoplatanus","Sycamore",1,29.9768627693875,191.908643468739,7.33036753766501,"N",2,8.1791285905974,0.061312524792407,89.4850466412253,0.0956108900059633,0.009300493120871,0.0154153105545017,0.00618888322363975,0.0170483918981473,0.0133594459952471,0,0.331782251402258,0.326682937944573,0.2992379735376,0.298037661226265,0.356288792550952,0.344487070053345,0.295321505364992,0.292959273053737,0.0789268039497855,0.0789268039497855,0.078844884499611,0.078844884499611,130,103,49.5934184952138,2.52822257518299,59,3402.27307670056,24,35,11,0.731658706830907,0.781310802816746,1982,248.334486565195,3389,68307,21.7547928994083,15.2461538461538,14.5450643776824,1407,1.45833333333333,52.0268766295352,128.890847721102,0.798449612403101
"784","8415","Unknown","Unknown","Unknown",1,38.3507496533478,182.051896947116,5.18575042113999,"N",8,2.69589094134602,0.0138341631478565,40.5835425847029,0.042965044846045,0.00452631547925468,0.00930784766860183,0,0,0,0,0.456058749798698,0.45205164077439,0.404049774016248,0.403221666732104,0.361481056635195,0.351349160202271,0.302456450525185,0.300368678829359,0.36062236806147,0.36062236806147,0.352856637304075,0.352856637304075,67,51,26.7821789321789,3.95067114314887,28,610.055252021999,12,18,6,0.65105270546447,0.661263390165556,513,102.339803080881,820,4792,8.19558921808866,7.65671641791045,6.94915254237288,307,1.5,28.9828767175858,50.8280496402415,0.772727272727273
"785","8416","FRAXEX","Fraxinus excelsior","European/Common ash",1,20.9305828789683,182.446568559271,3.42142533830501,"N",4,10.9312330362337,0.027537551057277,33.2826993233515,0.0640040943771336,0.00246527173022223,0.00482280748574811,0.0202494718413067,0,0,0,0.296411512777122,0.295442296199221,0.282729303889959,0.282555047629133,0.307363693922719,0.296064279883435,0.260843844258011,0.258803234454887,0.46662304431751,0.46662304431751,0.449872922187754,0.449872922187754,29,21,10.9956349206349,2.86927787599053,12,244.727503753552,10,8,5,0.858333333333333,0.911504424778761,176,40.0257288809095,274,985,6.68489892984542,6.06896551724138,5.48,98,0.8,11.7304946929012,42.2058270557157,0.75
"786","8417","FRAXEX","Fraxinus excelsior","European/Common ash",1,20.5896104055623,182.827514976007,3.901585420375,"N",0,7.46259779198981,0.026368739730519,40.2921195545316,0.0585431955570491,0.00352953752202829,0.00854527080325085,0.0142939314052399,0,0,0,0.394818671201173,0.383984031060941,0.355824357727184,0.353751121801121,0.37233830944604,0.353689457030438,0.305483328821721,0.301542732036265,0.478159775640868,0.478159775640868,0.460146124909207,0.460146124909207,56,45,22.968228993229,2.08679381339923,21,1068.71719371683,16,15,5,0.743804901367228,0.753756250272595,631,99.5886849912609,1061,10172,13.5175382653061,11.2678571428571,10.5049504950495,430,0.9375,20.1227404782501,68.300465837525,0.818181818181818
"787","8418","FRAXEX","Fraxinus excelsior","European/Common ash",1,21.479148019466,184.032170438134,2.12459779541999,"N",6,4.52720558596693,0.0102738636534595,18.2897355172709,0.040402799420076,0.001755147927528,0.00702130696801747,0.00149740875791403,0,0,0,0.330253181659693,0.328965701274262,0.305882248176879,0.305687926217955,0.319567964326266,0.307979002359727,0.26641442799218,0.263360850776698,0.728977667003578,0.728977667003578,0.666107470262507,0.666107470262507,28,23,8.38072899322899,2.53724392806912,10,479.551092844537,17,7,3,0.821640859140859,0.858964930526847,267,61.5838723636043,452,1866,26.7487244897959,9.53571428571429,8.86274509803922,185,0.411764705882353,8.31315885645667,43.4694615965188,0.851851851851852
"788","8420","ACERPS","Acer pseudoplatanus","Sycamore",1,18.9265302151726,180.248334903563,7.29111668570999,"N",7,11.5368136079838,0.0575255442866628,82.1750671193515,0.0822957011835876,0.00960258174820403,0.0146823092879586,0.0153915110009362,0.017849142249564,0,0,0.250550951609126,0.249426441523723,0.237107060093997,0.236958469008835,0.281012779563331,0.275271869224417,0.240118910488254,0.239373033728505,0.163118833508472,0.163118833508472,0.162396424301263,0.162396424301263,97,75,35.5409936253976,3.2441774733398,41,1521.51114179033,22,21,6,0.802784450515066,0.858191624541447,1002,172.465751184845,1643,16699,21.5200340099904,10.3298969072165,9.55232558139535,641,0.954545454545455,40.7122531495664,85.1429357866454,0.78125
