"","Tree_ID","species","latin_name","common_name","stem_count","stemlocx_m","stemlocy_m","DBH_QSM_sd_m","VerticalCrownProjectedArea_pts_m2","Vol_QSM_sd_m3","Vol_QSM_D0_25mm_sd_m3","Vol_QSM_D25_50mm_sd_m3","Vol_QSM_D50_75mm_sd_m3","Vol_QSM_D75_100mm_sd_m3","Vol_QSM_D100_200mm_sd_m3","Vol_QSM_D200_500mm_sd_m3","Dead","QSM_iteration","height_m","tot_volume_m3","tot_length_m","zeroWeightCyl_count","DBH_QSM_m","Vol_QSM_D0_25mm_m3","Vol_QSM_D25_50mm_m3","Vol_QSM_D50_75mm_m3","Vol_QSM_D75_100mm_m3","Vol_QSM_D100_200mm_m3","Vol_QSM_D200mm_m3","A_w","alpha_w","M_w","mu_w","A_l","alpha_l","M_l","mu_l","root_A","root_alpha","root_M","root_mu","n_leaves","n_innerN","B1I","B2I","CherryI","Coll_likeI_ln","maxDepth","maxWidth","modMaxDiffW","IbasedI_meanP","IbasedI_meanW","SackinI","sshapeI","totPathL","totalCophI","VarLDI","AvgLDI","AvgVertD","totIntPathL","maxWoMaxD","rQuartetI_4rt","Coll_likeI_e_sqrt","resolution_n"
"1","10","FRAXEX","Fraxinus excelsior","European/Common ash",1,117.760605177289,117.387750139543,0,235.69623032825,0.490077374843333,0.00608631447113165,0.0298806529968858,0.054070059230261,0.0396000215049591,0.0632462988945926,0.594347657936251,"N",1,28.6157528520791,20.6521002028125,4559.55171035441,0,1.02036451857034,0.291098236531295,1.59716713214136,1.90498776129925,0.867179421227259,2.22141816745519,13.7702494841581,0.301599513747269,0.296430414183646,0.27820813938369,0.276917535250846,0.387466256123634,0.368337857504163,0.318068783623363,0.313287034021302,0.11939180774198,0.11939180774198,0.11910836665948,0.11910836665948,6758,5219,2590.43108928668,4.52942408357468,3045,296515.425226085,47,810,96,0.726463229359944,0.751828287762452,172473,12168.6199395097,296859,59818013,50.5366131453949,25.5213080793134,24.7857560323954,124386,17.2340425531915,3130.25918884842,1249.58709692535,0.77238419416901
"2","1008","Unknown","Unknown","Unknown",1,14.3139280724589,201.077265735149,0.00416466618643613,27.6183941884555,0.0161000345065193,0.00146514089126751,0.00503821089138349,0.00403513429759879,0.00790681529840531,0.0209887287160985,0.0182180340975438,NA,4,17.934978396402,0.764356539991718,479.823396435085,0,0.223599359056295,0.0412231147377631,0.145001671775238,0.0901432117898481,0.0616814452005648,0.234559006640253,0.191748089848051,0.297572902024712,0.291763846149156,0.275570850987822,0.273951301239687,0.362039410244978,0.341151162240196,0.296416042455056,0.290924633950517,0.29409946397889,0.29409946397889,0.289878097555935,0.289878097555935,717,554,274.700299204602,2.51488236490136,316,32467.2343675513,45,100,31,0.732470643581208,0.75728396220379,17469,1321.36163502656,30066,2875682,44.1255113414214,24.3640167364017,23.6553894571204,12597,2.22222222222222,301.485811131705,399.611531266851,0.773743016759777
"3","1009a","ACERPS","Acer pseudoplatanus","Sycamore",2,110.507394323404,112.802214632542,0.00747217059048663,22.31929432865,0.0265750509563638,0.00102422617557162,0.00463689198593239,0.010887548474744,0.0127628284674154,0.0101499362646187,0.00669484501442499,"N",2,21.3209202727283,0.771135271403708,315.788154764469,0,0.216282386618382,0.0189196848227149,0.127801853928786,0.126399669655576,0.0579483743930449,0.260324697809413,0.179740990794172,0.29078978253571,0.286516316836526,0.272189127979075,0.27125963463538,0.339193300790967,0.326160791848715,0.28500337528817,0.281753683350589,0.20711789111584,0.20711789111584,0.205640246369334,0.205640246369334,428,340,162.740123298705,2.47894806644248,206,20104.1320082548,42,45,16,0.720825017432618,0.746890371610881,10396,834.014710217308,18041,1099340,91.9113896410167,24.2897196261682,23.4908854166667,7645,1.07142857142857,159.359593531709,333.924919232086,0.796252927400468
"4","1009b","ACERPS","Acer pseudoplatanus","Sycamore",2,110.884466941427,112.786626614056,0.00248551358430764,28.53093118205,0.0219061127947835,0.00188886208960802,0.0110351399106299,0.0112314723199741,0.00801578581958462,0.0178483089480799,0.0106275468559215,"N",0,20.7275609597856,0.979633544979425,483.342702583317,0,0.234924133123802,0.032703056350696,0.179117990167654,0.180769528446018,0.0968231091539859,0.145824603416304,0.344395257444768,0.262912856129253,0.257277483686035,0.240568301653919,0.239047797784791,0.365902646424237,0.349571872154144,0.303755647567087,0.299794914033556,0.0431178166500374,0.0431178166500374,0.0431044575050607,0.0431044575050607,680,512,266.64019666309,2.56453520058149,339,36060.9803952138,40,107,19,0.683592477062853,0.698929668745671,19016,1165.35340691211,32483,4072192,43.5252249134948,27.9647058823529,27.2508389261745,13467,2.675,281.06915709397,461.124409030021,0.754050073637702
"5","1014","ACERPS","Acer pseudoplatanus","Sycamore",1,83.6244206974342,194.57698352198,0.0017763883459299,8.52582230826999,0.0102355589327924,0.00149641293745848,0.00652189805144325,0.00666138459496024,0.00558412847678789,0.00554178530248179,0.00551256720866649,"N",0,18.8007580081334,0.475096798346842,223.873784220346,0,0.202779131280845,0.0181615167285057,0.0777126273391984,0.0376185676754208,0.0152056172820484,0.253858917154391,0.0725395521672786,0.198615935036046,0.195104836047324,0.185314516702873,0.184454043674776,0.352178602586508,0.329639498617773,0.288668484240607,0.282119229223762,0.0367385489847514,0.0367385489847514,0.0367302850774009,0.0367302850774009,327,258,127.090563922203,2.60137862679817,127,12252.3985974036,35,55,18,0.748582946719903,0.776506973769444,6473,597.376978963122,11139,526784,37.7775907377793,19.7951070336391,19.0410256410256,4666,1.57142857142857,145.946903631452,241.177079821939,0.791411042944785
"6","1016","FRAXEX","Fraxinus excelsior","European/Common ash",1,126.002796425745,187.953941327215,0.0017638342073764,36.0484077971,0.0346584926260666,0.00231799156314182,0.0198836177146182,0.0134171608068497,0.00554342366562791,0.00627141854853906,0.0103699699822743,"N",8,21.3827715993419,1.46510167259987,816.479834816891,0,0.303514393344555,0.0628345789795797,0.329375375191006,0.163580154946775,0.0474301319201433,0.117209740776819,0.744671690785551,0.286090557009481,0.283534452016568,0.267548810533443,0.26693405808548,0.340682730823622,0.327514062356255,0.283915776889516,0.280813100640858,0.0917995521864326,0.0917995521864326,0.0916706716181697,0.0916706716181697,1337,976,481.165602881686,4.7506570936062,640,34563.4259795503,29,197,28,0.743530967727373,0.775128019644098,22455,2196.4469949675,37043,3520461,24.3947998650681,16.7950635751683,16.0151318633809,14588,6.79310344827586,592.365022137581,498.260757595152,0.730538922155689
"7","1019","ACERPS","Acer pseudoplatanus","Sycamore",1,128.773238481009,172.374493439855,0.0231806911985912,49.37377526185,0.0693842761566176,0.00362993417871746,0.0182711595796416,0.0109050341797804,0.0178333722802232,0.0415217589252271,0.0444492406401334,"N",3,23.0787139428902,3.24586736930417,1255.43708234842,0,0.524215797742108,0.0947730811936991,0.41544206470305,0.277184093298007,0.210806191276115,0.246344706840084,2.00131723199322,0.212996354020515,0.208903720582067,0.197693483487484,0.196579581095603,0.361981553979994,0.342259008749176,0.296665108748432,0.291668808899526,0.0909449773705091,0.0909449773705091,0.0908196617227612,0.0908196617227612,1910,1502,749.107096712234,2.43463896976625,876,67946.3855221138,39,292,46,0.677258303784705,0.686714108251534,40359,3413.52300134819,69545,11756684,27.7510674049505,21.1303664921466,20.3824736225088,29186,7.48717948717949,837.89049213967,574.027461909842,0.786799371398638
"8","1035a","ACERPS","Acer pseudoplatanus","Sycamore",2,22.4996987307328,142.540777727223,0.0103435433430179,16.75217560977,0.0229446193159868,0.00130170556892574,0.00828660040101914,0.0104008463916253,0.00998625959777895,0.0124406231683483,0.0208361258103883,"N",7,20.1926060907191,0.881500481087438,347.146114254688,0,0.241986727460448,0.0193868091783193,0.139750478273765,0.180424423050232,0.0681702050374378,0.15225779094304,0.321510774604644,0.218506738013904,0.214478991960392,0.199998579421376,0.198913718081083,0.350272732950257,0.329247761542055,0.287699822152209,0.281455685532592,0.069902749830636,0.069902749830636,0.0698458350032164,0.0698458350032164,411,341,161.602028356462,2.78141468714899,161,12565.1463276356,33,50,14,0.739754511294905,0.772581569910556,7257,779.972470373406,12650,538673,42.4735468059034,17.6569343065693,16.8218085106383,5393,1.51515151515152,163.731440798808,232.405104086466,0.831707317073171
"9","1035b","ACERPS","Acer pseudoplatanus","Sycamore",2,22.094812155892,142.624251641982,0.00477791214281347,2.6937783367,0.0026869230646886,0.000178502532383309,0.00129253242233098,0.00187148294344445,0.00282810070054964,0.00606560131093742,0,"N",2,10.8677366674368,0.0748192953015702,33.7009562009202,0,0.104280222177891,0.00193094658549609,0.0108992148835951,0.00631973052643757,0.0352629784693439,0.0204064248366975,0,0.186703168863458,0.186062024879101,0.17691206218657,0.176833218696404,0.29802601037821,0.291534248004466,0.250330635894969,0.249222324706105,0.0468904663251952,0.0468904663251952,0.0468732850790246,0.0468732850790246,47,40,14.327148653944,2.26601576853463,16,1329.03060960345,24,9,3,0.874916253050928,0.910958981319944,669,116.83629649545,1186,9024,44.2218198279765,14.2340425531915,13.632183908046,517,0.375,15.5881272677753,70.8337310157604,0.869565217391304
"10","104","ACERPS","Acer pseudoplatanus","Sycamore",1,8.59112207781276,164.276204794259,0.0186443318762328,79.598267206716,0.0945915782015856,0.00425571816346623,0.019736059002576,0.0239638207898435,0.0261856034704293,0.0362473672892785,0.142987486035037,"N",9,20.8006185448062,4.50840887359203,1391.70512749595,0,0.55611864563394,0.0946239844901607,0.528133948366675,0.43662282996839,0.342164527517504,0.74128179492546,2.36558178832384,0.266364728620423,0.260453451806119,0.24215899746126,0.240510161965441,0.356428989286851,0.336351783507235,0.295443818230278,0.289736954816909,0.0420337779026942,0.0420337779026942,0.0420214011800509,0.0420214011800509,1468,1172,591.159437237394,5.66200866163319,640,32442.4854725731,25,237,42,0.695885382021775,0.720066897776925,21175,2488.49748830827,36156,3367992,15.4704407004284,14.4243869209809,13.6954545454545,14981,9.48,623.331273615491,403.619706073496,0.798909338786639
